,year,AfricanAmerican,AmericanIndian,Asian,Hispanic/Latino(a),White,Unknown,International
0,1994,3,1,49,15,27,5,0
1,1995,3,1,47,15,26,5,2
2,1996,2,0,52,12,26,7,1
3,1997,3,1,50,12,27,5,2
4,1998,2,0,47,11,24,14,1
5,1999,2,1,49,11,27,8,1
6,2000,2,0,48,11,27,9,1
7,2001,3,0,44,12,30,9,2
8,2002,2,0,45,12,30,8,1
9,2003,2,0,43,13,31,9,1
10,2004,2,0,43,13,31,9,1
11,2005,2,1,44,13,31,7,2
12,2006,2,1,47,13,29,6,2
13,2007,2,0,46,15,28,6,2
14,2008,2,0,46,15,27,6,3
15,2009,2,0,49,16,25,5,3
16,2010,2,1,48,17,24,5,4
17,2011,3,1,45,20,23,2,6
18,2012,3,0,44,20,19,3,11
19,2013,2,0,41,20,18,3,15
20,2014,3,0,39,21,16,3,18
21,2015,3,0,36,20,15,3,23
22,2016,3,0,36,20,15,3,23
23,2017,3,0,36,19,15,3,23
24,2018,4,0,37,18,14,3,25
25,2019,3,0,35,17,13,3,29
26,2020,3,0,38,16,14,3,26
27,2021,5,1,34,20,16,3,22
28,2022,5,1,37,22,15,3,17
29,2023,4,1,38,20,13,2,22
